feature,feature value,n_samples,precision,recall,fbeta
native-country, Dominican-Republic,13,1.0,0.0,0.0
native-country, Philippines,43,0.7142857142857143,0.7692307692307693,0.7407407407407408
native-country, Nicaragua,11,1.0,1.0,1.0
native-country, Canada,23,0.6666666666666666,0.6666666666666666,0.6666666666666666
native-country, China,10,0.75,0.75,0.75
native-country, Japan,10,1.0,0.25,0.4
native-country, France,10,0.6666666666666666,0.5,0.5714285714285715
native-country, Columbia,12,1.0,1.0,1.0
native-country, Ireland,8,1.0,1.0,1.0
native-country, Cuba,20,1.0,0.4,0.5714285714285715
native-country, Taiwan,6,0.6666666666666666,1.0,0.8
native-country, Jamaica,15,0.5,0.5,0.5
native-country, Germany,22,1.0,0.8571428571428571,0.923076923076923
native-country, Portugal,4,1.0,1.0,1.0
native-country, England,13,0.0,0.0,0.0
native-country, Hong,4,1.0,0.6666666666666666,0.8
native-country, Outlying-US(Guam-USVI-etc),3,1.0,1.0,1.0
native-country, Peru,6,0.0,1.0,0.0
native-country, Iran,4,0.6666666666666666,1.0,0.8
native-country, Honduras,4,1.0,1.0,1.0
native-country, Yugoslavia,4,1.0,0.0,0.0
native-country, Greece,4,1.0,1.0,1.0
native-country, Trinadad&Tobago,3,1.0,1.0,1.0
native-country, Haiti,6,1.0,1.0,1.0
native-country, Laos,2,1.0,1.0,1.0
native-country, Scotland,1,1.0,1.0,1.0
native-country, Holand-Netherlands,1,1.0,1.0,1.0
